AS_OF_DATE,ZIP_CODE,ZIP_CLASS,CITY,ZIP_POPULATION,TIME_ZONE,PHONE_AREA_CODES,COUNTY_NAME_STATE,STATE,COUNTY_FIPS_CODE,COUNTY_REPORTED_CASES,ESTIMATED_CASES_BY_ZIP_CODE,ESTIMATED_DEATHS_BY_ZIP_CODE
2020-04-06,83313,General,Bellevue,3625,Mountain,208,"Blaine, Idaho",Idaho,16013,423 ,72 ,0
2020-04-06,83320,General,Carey,1006,Mountain,208,"Blaine, Idaho",Idaho,16013,423 ,20 ,0
2020-04-06,83333,General,Hailey,10472,Mountain,208,"Blaine, Idaho",Idaho,16013,423 ,208 ,1
2020-04-06,83340,General,Ketchum,4682,Mountain,208,"Blaine, Idaho",Idaho,16013,423 ,93 ,0
2020-04-06,83348,General,Picabo,132,Mountain,208,"Blaine, Idaho",Idaho,16013,423 ,3 ,0
2020-04-06,83353,P.O. Box,Sun Valley,1335,Mountain,208,"Blaine, Idaho",Idaho,16013,423 ,27 ,0
2020-04-06,83354,P.O. Box,Sun Valley,18,Mountain,208,"Blaine, Idaho",Idaho,16013,423 ,0 ,0
2020-04-06,10501,General,Amawalk,1219,Eastern,914,"Westchester, New York",New York,36119,14293 ,18 ,0
2020-04-06,10502,General,Ardsley,5487,Eastern,914,"Westchester, New York",New York,36119,14293 ,83 ,1
2020-04-06,10503,P.O. Box,Ardsley On Hudson,108,Eastern,914,"Westchester, New York",New York,36119,14293 ,2 ,0
2020-04-06,10504,General,Armonk,7987,Eastern,914,"Westchester, New York",New York,36119,14293 ,120 ,2
2020-04-06,10505,General,Baldwin Place,851,Eastern,914,"Westchester, New York",New York,36119,14293 ,13 ,0
2020-04-06,10506,General,Bedford,5790,Eastern,914,"Westchester, New York",New York,36119,14293 ,87 ,2
2020-04-06,10507,General,Bedford Hills,6408,Eastern,914,"Westchester, New York",New York,36119,14293 ,97 ,2
2020-04-06,10510,General,Briarcliff Manor,9988,Eastern,914,"Westchester, New York",New York,36119,14293 ,151 ,3
2020-04-06,10511,General,Buchanan,2246,Eastern,914,"Westchester, New York",New York,36119,14293 ,34 ,1
2020-04-06,10514,General,Chappaqua,11946,Eastern,914,"Westchester, New York",New York,36119,14293 ,180 ,3
2020-04-06,10517,P.O. Box,Crompond,539,Eastern,845/914,"Westchester, New York",New York,36119,14293 ,8 ,0
2020-04-06,10518,General,Cross River,1268,Eastern,845/914,"Westchester, New York",New York,36119,14293 ,19 ,0
2020-04-06,10519,P.O. Box,Croton Falls,316,Eastern,845/914,"Westchester, New York",New York,36119,14293 ,5 ,0
2020-04-06,10520,General,Croton On Hudson,12810,Eastern,914,"Westchester, New York",New York,36119,14293 ,193 ,3
2020-04-06,10521,P.O. Box,Croton On Hudson,0,Eastern,914,"Westchester, New York",New York,36119,14293 ,0 ,0
2020-04-06,10522,General,Dobbs Ferry,10875,Eastern,914,"Westchester, New York",New York,36119,14293 ,164 ,3
2020-04-06,10523,General,Elmsford,7444,Eastern,914,"Westchester, New York",New York,36119,14293 ,112 ,2
2020-04-06,10526,General,Goldens Bridge,1809,Eastern,845/914,"Westchester, New York",New York,36119,14293 ,27 ,0
2020-04-06,10527,General,Granite Springs,908,Eastern,914,"Westchester, New York",New York,36119,14293 ,14 ,0
2020-04-06,10528,General,Harrison,12280,Eastern,914,"Westchester, New York",New York,36119,14293 ,185 ,3
2020-04-06,10530,General,Hartsdale,12604,Eastern,914,"Westchester, New York",New York,36119,14293 ,190 ,3
2020-04-06,10532,General,Hawthorne,4931,Eastern,914,"Westchester, New York",New York,36119,14293 ,74 ,1
2020-04-06,10533,General,Irvington,7322,Eastern,914,"Westchester, New York",New York,36119,14293 ,110 ,2
2020-04-06,10535,General,Jefferson Valley,555,Eastern,845/914,"Westchester, New York",New York,36119,14293 ,8 ,0
2020-04-06,10536,General,Katonah,10739,Eastern,914,"Westchester, New York",New York,36119,14293 ,162 ,3
2020-04-06,10538,General,Larchmont,16597,Eastern,914,"Westchester, New York",New York,36119,14293 ,250 ,4
2020-04-06,10540,P.O. Box,Lincolndale,0,Eastern,914,"Westchester, New York",New York,36119,14293 ,0 ,0
2020-04-06,10543,General,Mamaroneck,20135,Eastern,914,"Westchester, New York",New York,36119,14293 ,304 ,5
2020-04-06,10545,P.O. Box,Maryknoll,141,Eastern,914,"Westchester, New York",New York,36119,14293 ,2 ,0
2020-04-06,10546,General,Millwood,1277,Eastern,914,"Westchester, New York",New York,36119,14293 ,19 ,0
2020-04-06,10547,General,Mohegan Lake,7647,Eastern,845/914,"Westchester, New York",New York,36119,14293 ,115 ,2
2020-04-06,10548,General,Montrose,3487,Eastern,914,"Westchester, New York",New York,36119,14293 ,53 ,1
2020-04-06,10549,General,Mount Kisco,16638,Eastern,914,"Westchester, New York",New York,36119,14293 ,251 ,4
2020-04-06,10550,General,Mount Vernon,37144,Eastern,914,"Westchester, New York",New York,36119,14293 ,560 ,10
2020-04-06,10551,P.O. Box,Mount Vernon,0,Eastern,914,"Westchester, New York",New York,36119,14293 ,0 ,0
2020-04-06,10552,General,Mount Vernon,19786,Eastern,914,"Westchester, New York",New York,36119,14293 ,298 ,5
2020-04-06,10553,General,Mount Vernon,10170,Eastern,914,"Westchester, New York",New York,36119,14293 ,153 ,3
2020-04-06,10560,General,North Salem,4737,Eastern,914/845,"Westchester, New York",New York,36119,14293 ,71 ,1
2020-04-06,10562,General,Ossining,31796,Eastern,914,"Westchester, New York",New York,36119,14293 ,480 ,8
2020-04-06,10566,General,Peekskill,23570,Eastern,914/845,"Westchester, New York",New York,36119,14293 ,355 ,6
2020-04-06,10567,General,Cortlandt Manor,19929,Eastern,845/914,"Westchester, New York",New York,36119,14293 ,301 ,5
2020-04-06,10570,General,Pleasantville,12680,Eastern,914,"Westchester, New York",New York,36119,14293 ,191 ,3
2020-04-06,10573,General,Port Chester,38352,Eastern,914,"Westchester, New York",New York,36119,14293 ,578 ,10
2020-04-06,10576,General,Pound Ridge,5116,Eastern,914,"Westchester, New York",New York,36119,14293 ,77 ,1
2020-04-06,10577,General,Purchase,6552,Eastern,914,"Westchester, New York",New York,36119,14293 ,99 ,2
2020-04-06,10578,General,Purdys,681,Eastern,845/914,"Westchester, New York",New York,36119,14293 ,10 ,0
2020-04-06,10580,General,Rye,17208,Eastern,914,"Westchester, New York",New York,36119,14293 ,260 ,5
2020-04-06,10583,General,Scarsdale,38982,Eastern,914,"Westchester, New York",New York,36119,14293 ,588 ,10
2020-04-06,10587,P.O. Box,Shenorock,0,Eastern,914,"Westchester, New York",New York,36119,14293 ,0 ,0
2020-04-06,10588,General,Shrub Oak,2282,Eastern,845/914,"Westchester, New York",New York,36119,14293 ,34 ,1
2020-04-06,10589,General,Somers,8475,Eastern,914/845,"Westchester, New York",New York,36119,14293 ,128 ,2
2020-04-06,10590,General,South Salem,6767,Eastern,914,"Westchester, New York",New York,36119,14293 ,102 ,2
2020-04-06,10591,General,Tarrytown,22540,Eastern,914,"Westchester, New York",New York,36119,14293 ,340 ,6
2020-04-06,10594,General,Thornwood,5117,Eastern,914,"Westchester, New York",New York,36119,14293 ,77 ,1
2020-04-06,10595,General,Valhalla,8195,Eastern,914,"Westchester, New York",New York,36119,14293 ,124 ,2
2020-04-06,10596,P.O. Box,Verplanck,1729,Eastern,914,"Westchester, New York",New York,36119,14293 ,26 ,0
2020-04-06,10597,General,Waccabuc,968,Eastern,845/914,"Westchester, New York",New York,36119,14293 ,15 ,0
2020-04-06,10598,General,Yorktown Heights,28647,Eastern,914,"Westchester, New York",New York,36119,14293 ,432 ,8
2020-04-06,10601,General,White Plains,11376,Eastern,914/347/929/845,"Westchester, New York",New York,36119,14293 ,172 ,3
2020-04-06,10602,P.O. Box,White Plains,0,Eastern,914/347/929/845,"Westchester, New York",New York,36119,14293 ,0 ,0
2020-04-06,10603,General,White Plains,17045,Eastern,914/347/929,"Westchester, New York",New York,36119,14293 ,257 ,5
2020-04-06,10604,General,West Harrison,11250,Eastern,914/845,"Westchester, New York",New York,36119,14293 ,170 ,3
2020-04-06,10605,General,White Plains,18126,Eastern,914,"Westchester, New York",New York,36119,14293 ,273 ,5
2020-04-06,10606,General,White Plains,16499,Eastern,914/347/929/845,"Westchester, New York",New York,36119,14293 ,249 ,4
2020-04-06,10607,General,White Plains,6824,Eastern,914,"Westchester, New York",New York,36119,14293 ,103 ,2
2020-04-06,10610,P.O. Box,White Plains,0,Eastern,914/347/929/845,"Westchester, New York",New York,36119,14293 ,0 ,0
2020-04-06,10701,General,Yonkers,63393,Eastern,914,"Westchester, New York",New York,36119,14293 ,956 ,17
2020-04-06,10702,P.O. Box,Yonkers,0,Eastern,914,"Westchester, New York",New York,36119,14293 ,0 ,0
2020-04-06,10703,General,Yonkers,20301,Eastern,914,"Westchester, New York",New York,36119,14293 ,306 ,5
2020-04-06,10704,General,Yonkers,30165,Eastern,914,"Westchester, New York",New York,36119,14293 ,455 ,8
2020-04-06,10705,General,Yonkers,38777,Eastern,914,"Westchester, New York",New York,36119,14293 ,585 ,10
2020-04-06,10706,General,Hastings On Hudson,8679,Eastern,914,"Westchester, New York",New York,36119,14293 ,131 ,2
2020-04-06,10707,General,Tuckahoe,10097,Eastern,914,"Westchester, New York",New York,36119,14293 ,152 ,3
2020-04-06,10708,General,Bronxville,21225,Eastern,914,"Westchester, New York",New York,36119,14293 ,320 ,6
2020-04-06,10709,General,Eastchester,9292,Eastern,914,"Westchester, New York",New York,36119,14293 ,140 ,2
2020-04-06,10710,General,Yonkers,25120,Eastern,914,"Westchester, New York",New York,36119,14293 ,379 ,7
2020-04-06,10801,General,New Rochelle,40827,Eastern,914,"Westchester, New York",New York,36119,14293 ,616 ,11
2020-04-06,10802,P.O. Box,New Rochelle,0,Eastern,914,"Westchester, New York",New York,36119,14293 ,0 ,0
2020-04-06,10803,General,Pelham,12435,Eastern,914,"Westchester, New York",New York,36119,14293 ,188 ,3
2020-04-06,10804,General,New Rochelle,14146,Eastern,914,"Westchester, New York",New York,36119,14293 ,213 ,4
2020-04-06,10805,General,New Rochelle,18414,Eastern,914,"Westchester, New York",New York,36119,14293 ,278 ,5
2020-04-06,10901,General,Suffern,23465,Eastern,845,"Rockland, New York",New York,36087,5703 ,429 ,6
2020-04-06,10911,General,Bear Mountain,2,Eastern,845,"Rockland, New York",New York,36087,5703 ,0 ,0
2020-04-06,10913,General,Blauvelt,5532,Eastern,845/914,"Rockland, New York",New York,36087,5703 ,101 ,1
2020-04-06,10920,General,Congers,8554,Eastern,845,"Rockland, New York",New York,36087,5703 ,157 ,2
2020-04-06,10923,General,Garnerville,8732,Eastern,845,"Rockland, New York",New York,36087,5703 ,160 ,2
2020-04-06,10927,General,Haverstraw,11910,Eastern,845,"Rockland, New York",New York,36087,5703 ,218 ,3
2020-04-06,10931,General,Hillburn,1023,Eastern,845,"Rockland, New York",New York,36087,5703 ,19 ,0
2020-04-06,10952,General,Monsey,38917,Eastern,845,"Rockland, New York",New York,36087,5703 ,712 ,9
2020-04-06,10954,General,Nanuet,23045,Eastern,845,"Rockland, New York",New York,36087,5703 ,422 ,6
2020-04-06,10956,General,New City,31521,Eastern,845,"Rockland, New York",New York,36087,5703 ,577 ,8
2020-04-06,10960,General,Nyack,15093,Eastern,845/914,"Rockland, New York",New York,36087,5703 ,276 ,4
2020-04-06,10962,General,Orangeburg,5950,Eastern,845/914,"Rockland, New York",New York,36087,5703 ,109 ,1
2020-04-06,10964,General,Palisades,1472,Eastern,845,"Rockland, New York",New York,36087,5703 ,27 ,0
2020-04-06,10965,General,Pearl River,14791,Eastern,845,"Rockland, New York",New York,36087,5703 ,271 ,4
2020-04-06,10968,General,Piermont,2353,Eastern,845,"Rockland, New York",New York,36087,5703 ,43 ,1
2020-04-06,10970,General,Pomona,9993,Eastern,845,"Rockland, New York",New York,36087,5703 ,183 ,2
2020-04-06,10974,General,Sloatsburg,3152,Eastern,845,"Rockland, New York",New York,36087,5703 ,58 ,1
2020-04-06,10976,General,Sparkill,2258,Eastern,845,"Rockland, New York",New York,36087,5703 ,41 ,1
2020-04-06,10977,General,Spring Valley,59048,Eastern,845/914,"Rockland, New York",New York,36087,5703 ,1080 ,14
2020-04-06,10980,General,Stony Point,13383,Eastern,845,"Rockland, New York",New York,36087,5703 ,245 ,3
2020-04-06,10982,P.O. Box,Tallman,0,Eastern,845,"Rockland, New York",New York,36087,5703 ,0 ,0
2020-04-06,10983,General,Tappan,5532,Eastern,845,"Rockland, New York",New York,36087,5703 ,101 ,1
2020-04-06,10984,General,Thiells,2842,Eastern,845,"Rockland, New York",New York,36087,5703 ,52 ,1
