AS_OF_DATE,ZIP_CODE,ZIP_CLASS,CITY,ZIP_POPULATION,TIME_ZONE,PHONE_AREA_CODES,COUNTY_NAME_STATE,STATE,COUNTY_FIPS_CODE,COUNTY_REPORTED_CASES,ESTIMATED_CASES_BY_ZIP_CODE,ESTIMATED_DEATHS_BY_ZIP_CODE
2020-04-05,83313,General,Bellevue,3625,Mountain,208,"Blaine, Idaho",Idaho,16013,410 ,70 ,0
2020-04-05,83320,General,Carey,1006,Mountain,208,"Blaine, Idaho",Idaho,16013,410 ,19 ,0
2020-04-05,83333,General,Hailey,10472,Mountain,208,"Blaine, Idaho",Idaho,16013,410 ,202 ,1
2020-04-05,83340,General,Ketchum,4682,Mountain,208,"Blaine, Idaho",Idaho,16013,410 ,90 ,0
2020-04-05,83348,General,Picabo,132,Mountain,208,"Blaine, Idaho",Idaho,16013,410 ,3 ,0
2020-04-05,83353,P.O. Box,Sun Valley,1335,Mountain,208,"Blaine, Idaho",Idaho,16013,410 ,26 ,0
2020-04-05,83354,P.O. Box,Sun Valley,18,Mountain,208,"Blaine, Idaho",Idaho,16013,410 ,0 ,0
2020-04-05,10501,General,Amawalk,1219,Eastern,914,"Westchester, New York",New York,36119,13722 ,18 ,0
2020-04-05,10502,General,Ardsley,5487,Eastern,914,"Westchester, New York",New York,36119,13722 ,79 ,1
2020-04-05,10503,P.O. Box,Ardsley On Hudson,108,Eastern,914,"Westchester, New York",New York,36119,13722 ,2 ,0
2020-04-05,10504,General,Armonk,7987,Eastern,914,"Westchester, New York",New York,36119,13722 ,116 ,2
2020-04-05,10505,General,Baldwin Place,851,Eastern,914,"Westchester, New York",New York,36119,13722 ,12 ,0
2020-04-05,10506,General,Bedford,5790,Eastern,914,"Westchester, New York",New York,36119,13722 ,84 ,1
2020-04-05,10507,General,Bedford Hills,6408,Eastern,914,"Westchester, New York",New York,36119,13722 ,93 ,1
2020-04-05,10510,General,Briarcliff Manor,9988,Eastern,914,"Westchester, New York",New York,36119,13722 ,145 ,2
2020-04-05,10511,General,Buchanan,2246,Eastern,914,"Westchester, New York",New York,36119,13722 ,33 ,0
2020-04-05,10514,General,Chappaqua,11946,Eastern,914,"Westchester, New York",New York,36119,13722 ,173 ,2
2020-04-05,10517,P.O. Box,Crompond,539,Eastern,845/914,"Westchester, New York",New York,36119,13722 ,8 ,0
2020-04-05,10518,General,Cross River,1268,Eastern,845/914,"Westchester, New York",New York,36119,13722 ,18 ,0
2020-04-05,10519,P.O. Box,Croton Falls,316,Eastern,845/914,"Westchester, New York",New York,36119,13722 ,5 ,0
2020-04-05,10520,General,Croton On Hudson,12810,Eastern,914,"Westchester, New York",New York,36119,13722 ,185 ,3
